kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,490,1,61705033,白云潭,0,1788206400000,5,5,52.26
1,0,0,陆水,490,1,61705033,白云潭,0,1788220800000,5,5,52.32
1,0,0,陆水,490,1,61705033,白云潭,0,1788238800000,5,4,52.31
1,0,0,陆水,490,1,61705033,白云潭,0,1788256800000,5,5,52.37
1,0,0,陆水,490,1,61705033,白云潭,0,1788274800000,5,4,52.36
1,0,0,陆水,490,1,61705033,白云潭,0,1788310800000,5,5,52.4
1,0,0,陆水,490,1,61705033,白云潭,0,1788328800000,5,5,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788346800000,5,4,52.4
1,0,0,陆水,490,1,61705033,白云潭,0,1788361200000,5,6,52.41
1,0,0,陆水,490,1,61705033,白云潭,0,1788372000000,5,5,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788382800000,5,5,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788390000000,5,6,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788397200000,5,4,52.41
1,0,0,陆水,490,1,61705033,白云潭,0,1788415200000,5,5,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788433200000,5,6,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788447600000,5,6,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788458400000,5,6,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788469200000,5,4,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788476400000,5,6,52.43
1,0,0,陆水,490,1,61705033,白云潭,0,1788483600000,5,4,52.42
1,0,0,陆水,490,1,61705033,白云潭,0,1788501600000,5,6,52.44
1,0,0,陆水,490,1,61705033,白云潭,0,1788519600000,5,6,52.45
1,0,0,陆水,490,1,61705033,白云潭,0,1788534000000,5,6,52.45
1,0,0,陆水,490,1,61705033,白云潭,0,1788544800000,5,6,52.45
1,0,0,陆水,490,1,61705033,白云潭,0,1788552000000,5,6,52.45
1,0,0,陆水,490,1,61705033,白云潭,0,1788559200000,5,6,52.45
1,0,0,陆水,490,1,61705033,白云潭,0,1788566400000,5,4,52.44
