kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,480,1,61705031,石坑,0,1788206400000,5,5,52.25
1,0,0,陆水,480,1,61705031,石坑,0,1788220800000,5,5,52.28
1,0,0,陆水,480,1,61705031,石坑,0,1788238800000,5,6,52.32
1,0,0,陆水,480,1,61705031,石坑,0,1788256800000,5,5,52.36
1,0,0,陆水,480,1,61705031,石坑,0,1788274800000,5,6,52.37
1,0,0,陆水,480,1,61705031,石坑,0,1788310800000,5,6,52.4
1,0,0,陆水,480,1,61705031,石坑,0,1788328800000,5,6,52.41
1,0,0,陆水,480,1,61705031,石坑,0,1788346800000,5,6,52.42
1,0,0,陆水,480,1,61705031,石坑,0,1788361200000,5,6,52.42
1,0,0,陆水,480,1,61705031,石坑,0,1788372000000,5,6,52.42
1,0,0,陆水,480,1,61705031,石坑,0,1788382800000,5,6,52.42
1,0,0,陆水,480,1,61705031,石坑,0,1788390000000,5,5,52.43
1,0,0,陆水,480,1,61705031,石坑,0,1788397200000,5,6,52.43
1,0,0,陆水,480,1,61705031,石坑,0,1788415200000,5,6,52.43
