kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788209100000,5,6,27.64
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788222600000,5,5,27.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788240900000,5,6,27.64
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788258000000,5,6,27.64
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788275100000,5,5,27.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788287100000,5,5,27.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788297300000,5,4,27.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788305400000,5,4,27.66
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788312000000,5,4,27.64
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788330000000,5,4,27.63
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788349200000,5,5,27.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788361800000,5,6,27.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788374400000,5,5,27.66
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788383700000,5,6,27.67
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788391500000,5,5,27.68
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788398400000,5,6,27.67
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788416700000,5,5,27.67
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788435300000,5,6,27.67
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788447900000,5,5,27.66
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788460500000,5,5,27.66
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788470100000,5,6,27.66
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788477900000,5,4,27.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788484500000,5,6,27.67
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788503100000,5,6,27.81
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788522000000,5,5,27.91
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788534000000,5,5,28
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788546000000,5,4,28.06
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788555300000,5,5,28.15
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788562500000,5,6,28.18
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788569400000,5,6,28.22
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788586800000,5,5,28.31
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788600000000,5,6,28.34
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788612900000,5,6,28.38
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788624000000,5,5,28.44
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788632100000,5,6,28.46
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788639600000,5,4,28.48
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788646500000,5,6,28.51
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788652200000,5,5,28.54
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788669300000,5,5,28.64
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788684600000,5,6,28.72
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788698700000,5,6,28.82
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788711000000,5,6,28.9
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788718500000,5,6,28.95
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788727500000,5,6,29
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788734700000,5,5,29.05
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788742500000,5,6,29.09
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788760800000,5,6,29.12
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788784200000,5,6,29.09
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788803400000,5,6,29.05
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788816300000,5,6,29.01
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788824400000,5,5,29
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788830400000,5,6,28.99
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788848700000,5,6,28.98
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788867600000,5,5,28.98
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788880500000,5,6,28.97
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788944700000,5,6,28.9
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788961200000,5,4,28.84
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788990900000,5,4,28.78
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1788999000000,5,4,28.76
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789015200000,5,5,28.72
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789031100000,5,4,28.67
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789047000000,5,5,28.66
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789077300000,5,6,28.59
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789085100000,5,5,28.6
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789101300000,5,5,28.54
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789117500000,5,5,28.49
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789133400000,5,6,28.45
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789163700000,5,5,28.4
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789172100000,5,4,28.36
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789187700000,5,4,28.31
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789202700000,5,4,28.26
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789217100000,5,4,28.22
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789253700000,5,6,28.14
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789260900000,5,6,28.15
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789279500000,5,6,28.17
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789300200000,5,5,28.21
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789340700000,5,5,28.3
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789347600000,5,4,28.3
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789366200000,5,5,28.26
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789390500000,5,4,28.16
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789423200000,5,4,28.09
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789432200000,5,4,28.04
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789449600000,5,6,28.01
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789467600000,5,4,27.97
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789509900000,5,6,27.48
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789517700000,5,5,27.39
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789535400000,5,4,27.11
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789552500000,5,4,26.88
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789570500000,5,6,26.63
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789596300000,5,4,26.53
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789604700000,5,6,26.51
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789622400000,5,6,26.47
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789640400000,5,6,26.43
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789682700000,5,4,26.32
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789690500000,5,4,26.3
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789708200000,5,5,26.35
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789724400000,5,5,26.39
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789739100000,5,6,26.41
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789770600000,5,5,26.49
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789777800000,5,4,26.47
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789794000000,5,5,26.5
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789809900000,5,5,26.55
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789823700000,5,4,26.56
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789860600000,5,5,26.65
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789868100000,5,4,26.64
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789887300000,5,5,26.68
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789906500000,5,5,26.72
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789946700000,5,6,26.82
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789951200000,5,6,26.81
1,0,0,陆水,450,1,61705020,陆水水库坝下,0,1789954500000,5,6,26.83
